*DISPLACEMENT 
1, 0.0
2, 0.0
3, 0.0
4, 4.767790157029286e-06
5, 9.593225464578386e-05
6, 3.9340110554868834e-05
7, -2.8530147021553287e-05
8, 4.617466700582397e-05
9, 5.407290086873187e-05
10, 1.0587911840678754e-21
11, 9.951517527991988e-05
12, 8.470329472543003e-21
13, -4.767790157029288e-06
14, 9.593225464578389e-05
15, -3.9340110554868834e-05
16, 2.8530147021553297e-05
17, 4.6174667005823955e-05
18, -5.40729008687319e-05
19, 0.0
20, 0.0
21, 0.0

*STRAIN 
1, 0.0015374053752245603
2, -0.0015307034127782309
3, 0.0006851993432168332
4, 0.0007734560408135194
5, -0.0015297319119406553
6, 0.0005505929801174846
7, 0.0023489295571709665

*STRESS 
1, 307481075.0449121
2, -306140682.5556462
3, 137039868.64336666
4, 154691208.1627039
5, -305946382.388131
6, 110118596.02349693
7, 469785911.4341933
